0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/assets/css/message.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:46 +0530] "GET /Online_Social_Network/LoginWeb.jsp HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:46 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:50 +0530] "POST /Online_Social_Network/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:50 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 6561
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:52 +0530] "GET /Online_Social_Network/SearchWeb.jsp HTTP/1.1" 200 2885
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:52 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:52 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:52 +0530] "GET /Online_Social_Network/assets/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:53 +0530] "GET /Online_Social_Network/Search.jsp?Search= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:53 +0530] "GET /Online_Social_Network/SearchWebFinal.jsp HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:53 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:42:53 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:43:02 +0530] "GET /Online_Social_Network/Search.jsp?Search=c HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:43:02 +0530] "GET /Online_Social_Network/SearchWebFinal.jsp HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:43:02 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:43:02 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/FirstWeb.jsp HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/Community-ChatComments.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/footer.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/home.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/Pretty-User-List.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/message.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:13:51 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/FirstWeb.jsp HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/assets/css/Community-ChatComments.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/assets/css/footer.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/assets/css/home.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/assets/css/Pretty-User-List.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/assets/css/message.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:01 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:03 +0530] "GET /Online_Social_Network/LoginWeb.jsp HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:03 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:06 +0530] "POST /Online_Social_Network/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:07 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 6583
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:09 +0530] "GET /Online_Social_Network/index.jsp HTTP/1.1" 500 4178
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:16:46 +0530] "GET /Online_Social_Network/index.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:18:22 +0530] "GET /Online_Social_Network/add.jsp?search2=chamath HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:18:23 +0530] "GET /Online_Social_Network/index.jsp HTTP/1.1" 200 5573
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:18:46 +0530] "GET /Online_Social_Network/chat.jsp HTTP/1.1" 500 3316
